,Feature,Classifier,ROC AUC,Accuracy,Correlation,Norm Confusion Matrix,Retrieval Calls,In-Accuracy_init_mean,In-Accuracy_bootstrap_mean,In-Accuracy_CI_lower,In-Accuracy_CI_higher,In-Accuracy_std,Mean Tokens_init_mean,Mean Tokens_bootstrap_mean,Mean Tokens_CI_lower,Mean Tokens_CI_higher,Mean Tokens_std,EM_init_mean,EM_bootstrap_mean,EM_CI_lower,EM_CI_higher,EM_std,F1_init_mean,F1_bootstrap_mean,F1_CI_lower,F1_CI_higher,F1_std,Dataset,LLM Call,is_baseline,UC_rate,overconfidence,conservativeness
0,Perplexity,Logistic Regression,0.643,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
1,Perplexity,KNN,0.6,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
2,Perplexity,MLP,0.643,0.894,0.153,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
3,Perplexity,Decision Tree,0.626,0.878,0.153,"[[0.006, 0.1], [0.022, 0.872]]",0.97,0.098,0.098,0.074,0.122,0.013,1797.332,1797.126,1752.51,1840.817,22.216,0.086,0.086,0.062,0.11,0.012,0.168,0.168,0.141,0.195,0.014,musique,1.97,0,0.972,0.022,0.1
4,Perplexity,Threshold,0.643,0.894,0.153,"[[0.002, 0.104], [0.002, 0.892]]",1.0,0.098,0.098,0.074,0.122,0.013,1840.988,1840.954,1803.38,1876.394,19.061,0.086,0.086,0.062,0.11,0.012,0.165,0.165,0.138,0.192,0.014,musique,2.0,0,0.996,0.002,0.104
5,Mean Entropy,Logistic Regression,0.637,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
6,Mean Entropy,KNN,0.627,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
7,Mean Entropy,MLP,0.637,0.894,0.147,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
8,Mean Entropy,Decision Tree,0.62,0.892,0.147,"[[0.002, 0.104], [0.004, 0.89]]",0.99,0.1,0.1,0.076,0.124,0.013,1837.658,1837.743,1798.194,1874.961,19.552,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,1.99,0,0.994,0.004,0.104
9,Mean Entropy,Threshold,0.637,0.896,0.147,"[[0.002, 0.104], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1845.87,1845.9,1808.371,1880.89,18.656,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,0.998,0.0,0.104
10,Max Entropy,Logistic Regression,0.669,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
11,Max Entropy,KNN,0.581,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
12,Max Entropy,MLP,0.669,0.894,0.18,"[[0.0, 0.106], [0.0, 0.894]]",1.0,0.1,0.1,0.076,0.124,0.013,1850.058,1849.995,1812.986,1885.072,18.196,0.088,0.088,0.066,0.112,0.012,0.167,0.167,0.14,0.195,0.014,musique,2.0,0,1.0,0.0,0.106
13,Max Entropy,Decision Tree,0.586,0.87,0.18,"[[0.004, 0.102], [0.028, 0.866]]",0.97,0.1,0.1,0.076,0.126,0.013,1790.354,1790.088,1744.903,1831.486,22.569,0.088,0.088,0.066,0.112,0.012,0.166,0.167,0.139,0.193,0.014,musique,1.97,0,0.968,0.028,0.102
